run_idx,latency_ms
0,531.115600
1,528.060000
2,533.947700
3,505.789300
4,484.827900
5,476.575100
6,481.386300
7,472.910900
8,340.065400
9,302.180100
10,328.304600
11,317.446400
12,277.339300
13,311.402000
14,328.365400
15,307.114300
16,297.082100
17,329.135800
18,311.114300
19,285.005500
20,319.699700
21,328.175100
22,286.894700
23,317.716400
24,328.337400
25,308.265900
26,304.587900
27,337.252000
28,300.224300
29,295.075600
30,327.298800
31,328.978900
32,293.000900
33,324.206400
34,330.257600
35,302.389200
36,320.718100
37,328.235400
38,306.989000
39,309.151700
40,365.636300
41,531.627300
42,530.541200
43,529.470300
44,526.119100
45,530.551700
46,514.889400
47,444.797500
48,359.958000
49,331.268200
50,299.402000
51,328.931700
52,330.195800
53,307.804700
54,296.600100
55,329.559100
56,328.643600
57,304.775100
58,324.870000
59,327.610900
60,291.996200
61,303.386700
62,331.674300
63,297.829000
64,299.348400
65,340.902400
66,321.313000
67,291.512400
68,327.397900
69,329.800500
70,290.052800
71,327.127600
72,330.187600
73,285.859000
74,301.370600
75,327.873700
76,301.344100
77,278.995600
78,330.073600
79,327.633900
80,402.090700
81,528.349000
82,533.630400
83,529.506400
84,529.024800
85,521.371300
86,489.827300
87,474.496600
88,480.494400
89,513.602100
90,528.184700
91,525.543900
92,526.220200
93,528.708800
94,514.836000
95,459.025900
96,534.667700
97,534.424300
98,530.139800
99,528.422500
100,529.511600
101,527.694400
102,491.647700
103,530.617900
104,529.093200
105,504.373100
106,531.239500
107,520.834200
108,527.819600
109,529.139600
110,530.321300
111,531.163100
112,528.420400
113,531.371400
114,529.642700
115,528.327900
116,544.545800
117,531.171600
118,532.199600
119,528.691300
120,523.460800
121,530.197500
122,527.854500
123,532.253800
124,533.739900
125,487.158700
126,523.784900
127,531.650400
128,529.570600
129,528.338800
130,530.103200
131,532.139600
132,526.543900
133,531.401200
134,527.106300
135,531.733000
136,524.900000
137,529.755700
138,530.294900
139,526.148600
140,527.889200
141,530.981500
142,532.780800
143,531.818400
144,526.817400
145,512.430600
146,527.942000
147,512.412500
148,533.096400
149,533.073600
150,529.959700
151,531.764300
152,531.085100
153,534.199300
154,532.563000
155,526.040500
156,531.477300
157,528.542300
158,534.182500
159,532.944900
160,528.973500
161,526.860500
162,533.228800
163,527.146400
164,535.434700
165,529.247400
166,531.223400
167,499.272500
168,529.025500
169,527.686400
170,528.459300
171,528.035900
172,532.577700
173,522.053200
174,521.881500
175,531.624600
176,532.002500
177,529.682100
178,530.053000
179,525.908500
180,526.592000
181,534.720400
182,527.295000
183,529.886400
184,530.479900
185,531.029800
186,529.825100
187,530.826300
188,528.328600
189,527.952400
190,516.263300
191,531.489200
192,527.648000
193,533.049000
194,528.640100
195,528.974000
196,529.842600
197,531.445400
198,535.077500
199,529.714400
200,509.635500
201,530.522800
202,526.422400
203,527.920900
204,529.997000
205,530.831300
206,528.054200
207,531.007900
208,530.582700
209,531.601000
210,503.182300
211,526.749500
212,526.313900
213,530.495400
214,530.013900
215,522.871200
216,531.018900
217,530.544000
218,536.333400
219,532.763500
220,527.668200
221,506.320700
222,532.849700
223,544.320700
224,533.482000
225,531.278500
226,530.544200
227,521.563400
228,526.614100
229,530.578700
230,509.405500
231,529.258500
232,528.848400
233,531.629900
234,530.785900
235,528.091200
236,532.238100
237,534.040100
238,525.923800
239,531.709800
240,528.955400
241,523.356600
242,514.146600
243,531.570300
244,531.629400
245,528.585600
246,529.139600
247,533.700900
248,531.664100
249,533.221700
250,530.226400
251,528.271500
252,533.599300
253,531.311300
254,527.223400
255,497.353400
256,532.557900
257,529.023700
258,533.802600
259,530.799500
260,529.378900
261,531.955900
262,538.449500
263,525.066600
264,530.240900
265,527.300600
266,524.495100
267,533.751400
268,528.478900
269,505.230900
270,533.205700
271,529.537700
272,511.641800
273,523.167700
274,531.594400
275,489.163600
276,463.117600
277,488.956000
278,411.623200
279,348.578300
280,341.207800
281,303.168700
282,269.862800
283,341.703100
284,282.117300
285,303.646800
286,312.172000
287,306.329400
288,308.155800
289,294.886300
290,281.207800
291,298.094000
292,279.715300
293,292.322200
294,308.653100
295,325.525900
296,305.434000
297,293.204200
298,325.821400
299,316.990600
300,292.222800
301,325.148400
302,334.720800
303,278.872200
304,337.420700
305,328.358400
306,312.784500
307,305.971100
308,330.926400
309,311.907900
310,278.818100
311,396.723200
312,529.616300
313,533.821300
314,527.756500
315,527.006200
316,532.700000
317,494.689100
318,418.498500
319,380.138500
320,327.272700
321,318.626200
322,278.948000
323,312.897100
324,336.742400
325,314.711600
326,293.847700
327,337.310900
328,311.010900
329,285.191100
330,323.201800
331,328.595000
332,319.511100
333,314.066600
334,327.750700
335,328.362000
336,289.877200
337,350.197400
338,308.758000
339,307.362200
340,334.581800
341,323.004500
342,283.931800
343,322.255700
344,334.842500
345,295.492700
346,318.231700
347,320.827800
348,297.892300
349,315.577700
350,344.668300
351,462.249800
352,530.495700
353,531.751900
354,527.654400
355,478.142000
356,531.953100
357,527.143200
358,524.706700
359,528.553500
360,524.201000
361,527.183800
362,531.726800
363,532.287500
364,524.449200
365,534.955700
366,531.394700
367,512.621200
368,524.415100
369,532.678000
370,530.358500
371,529.589900
372,519.960900
373,531.051800
374,525.889900
375,505.756200
376,522.302900
377,528.685300
378,528.619100
379,532.738600
380,529.314300
381,526.567100
382,531.074900
383,535.422700
384,526.590500
385,527.152000
386,535.070800
387,532.432600
388,528.440000
389,532.448600
390,512.164400
391,524.345500
392,530.176800
393,528.075700
394,526.322600
395,510.864900
396,528.620900
397,518.297800
398,532.839000
399,527.826000
400,529.298400
401,528.725000
402,531.497400
403,529.395700
404,530.829900
405,531.768200
406,524.457400
407,530.287100
408,530.495500
409,527.109500
410,527.782800
411,529.498500
412,498.603600
413,529.202500
414,530.898200
415,536.192300
416,529.144300
417,501.629800
418,526.572000
419,531.092000
420,529.142800
421,525.487800
422,528.500500
423,527.662200
424,529.654200
425,530.980600
426,531.485400
427,529.535000
428,531.846300
429,527.653900
430,530.514200
431,533.381800
432,528.590300
433,534.128500
434,532.862600
435,532.900500
436,530.821900
437,535.498600
438,530.768800
439,513.141000
440,516.609300
441,527.493000
442,525.411200
443,529.858200
444,530.768800
445,529.815400
446,535.842700
447,529.931100
448,534.713800
449,530.608000
450,531.539800
451,530.290100
452,531.498800
453,529.572100
454,529.385900
455,527.319000
456,529.167700
457,530.017500
458,531.536100
459,527.360800
460,502.938000
461,531.448000
462,514.115500
463,531.321800
464,529.157100
465,532.195300
466,528.472300
467,529.170300
468,528.066000
469,530.032500
470,529.726700
471,527.977800
472,527.884300
473,532.820400
474,535.133500
475,533.246100
476,528.080800
477,529.817800
478,527.031600
479,534.775700
480,507.459000
481,527.968300
482,529.301400
483,533.680700
484,530.939300
485,518.146500
486,455.739400
487,478.672100
488,476.326700
489,523.480500
490,530.090600
491,528.658000
492,527.867600
493,522.265000
494,511.183600
495,464.441000
496,531.231600
497,530.918400
498,529.509000
499,527.122900
